Data
567
572
572
589
614
616
628
645
650
652
657
661
666
668
669
675
676
686
694
698
706
706
708
711
714
716
722
728
729
729
730
732
735
737
737
738
740
741
744
747
748
748
749
750
752
755
755
758
761
764
769
775
781
782
786
793
793
795
798
799
800
800
811
812
814
814
815
818
819
821
821
826
829
841
842
843
850
875
879
897
